## RECSRecommendations Upload File
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.
## RECS
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.sourceType,entity.margin
"creatori-de-continut-cum-sa-previi-atacurile-si-ce-sa-faci-daca-ti-a-fost-compromis-contul","Creatori de conținut: Cum să previi atacurile și ce să faci dacă ți-a fost compromis contul","Sfaturi de secruitate","Într-o eră în care creatorii de conținut monetizează platformele sociale și colaborează cu branduri, securitatea conturilor devine o prioritate esențială. Hackerii vizează aceste conturi pentru a obține câștiguri financiare prin atacuri precum phishing, malware și deturnarea sesiunilor. Protejarea identității digitale necesită măsuri solide: utilizarea parolelor unice, activarea autentificării multifactor (MFA), monitorizarea constantă a activității contului și limitarea accesului aplicațiilor terțe. Recunoașterea semnelor unui cont compromis—alerte de conectare suspecte, modificări neautorizate ale setărilor sau pierderea accesului—poate reduce riscurile. În cazul unui atac, este crucială schimbarea rapidă a parolei, revocarea accesului dispozitivelor necunoscute și contactarea suportului platformei pentru recuperare. YouTube și alte rețele sociale oferă pași oficiali pentru restaurarea conturilor compromise, iar protecția suplimentară prin soluții precum Bitdefender Security for Creators ajută la prevenirea breșelor viitoare. Educarea continuă asupra metodelor de atac și implementarea unor soluții de securitate avansate sunt esențiale pentru menținerea unei prezențe online sigure.","https://blogapp.bitdefender.com/hotforsecurity/content/images/size/w1000/2025/01/Creatori-de-con-inut-Cum-s--previi-atacurile--i-ce-s--faci-dac---i-a-fost-compromis-contul.jpeg",1,"https://www.bitdefender.com/ro-ro/blog/hotforsecurity/creatori-de-continut-cum-sa-previi-atacurile-si-ce-sa-faci-daca-ti-a-fost-compromis-contul","blog",1
"de-la-novice-la-escroc-cum-scam-as-a-service-permite-oricui-sa-devina-infractor-cibernetic-2","De la Novice la Escroc: Cum Scam-as-a-Service permite oricui să devină infractor cibernetic","Sfaturi de securitate","Scam-as-a-Service (SaaS) reprezintă un model infracțional care permite chiar și celor fără cunoștințe tehnice să desfășoare escrocherii sofisticate, folosind kituri de fraudă accesibile, boți automatizați și API-uri pentru monitorizare. Escrocii imită branduri populare precum Netflix, Disney+, UPS sau Amazon, vizând utilizatori din întreaga lume prin mesaje de phishing, pagini web clonate și scheme frauduloase. De exemplu, în escrocheriile prin servicii de streaming, victimele își introduc datele pe site-uri false, iar în fraudele financiare, sunt păcălite să furnizeze informații bancare sensibile. Aceste scheme sunt facilitate de platforme precum Telegram, care oferă anonimitate și criptare, reducând pragul de intrare în criminalitatea cibernetică. Costul unui astfel de pachet începe de la 150 €, incluzând pagini clonate și boți dedicați, ceea ce face ca fraudele să fie ușor de implementat și scalabil global. Escrocii beneficiază de dashboard-uri pentru a analiza eficiența atacurilor și a-și ajusta tacticile. În ciuda iluziei de siguranță oferite de anonimatul online, participarea la astfel de activități atrage consecințe juridice grave, inclusiv închisoare și amenzi substanțiale. Pentru a se proteja, utilizatorii trebuie să verifice linkurile înainte de a le accesa, să fie sceptici față de mesajele nesolicitate, să activeze autentificarea multifactor și să utilizeze soluții de securitate precum Bitdefender Scamio pentru a detecta tentativele de fraudă.","https://blogapp.bitdefender.com/hotforsecurity/content/images/size/w1000/2025/01/De-la-Novice-la-Escroc-Cum-Scam-as-a-Service-permite-oricui-s--devin--infractor-cibernetic.jpg",1,"https://www.bitdefender.com/ro-ro/blog/hotforsecurity/de-la-novice-la-escroc-cum-scam-as-a-service-permite-oricui-sa-devina-infractor-cibernetic-2","blog",1
"atentie-la-reducerile-de-lichidare-totala-cum-sa-faci-cumparaturi-in-siguranta-si-sa-eviti-escrocheriile","Atenție la reducerile de lichidare totală! Cum să faci cumpărături în siguranță și să eviți escrocheriile","Sfaturi de securitate","Reclamele cu „Lichidare totală!” și „Reduceri masive!” pot ascunde escrocherii bine puse la punct, menite să exploateze graba și emoțiile cumpărătorilor. Infractorii creează site-uri false, folosesc reclame emoționale și oferă discounturi exagerate pentru a atrage victime. De exemplu, un magazin fictiv de bijuterii handmade a pretins că se închide după 26 de ani de activitate, însă domeniul său fusese înregistrat recent. Cumpărătorii au primit produse de calitate inferioară sau nu au primit nimic, iar returnarea era imposibilă. Semnele unei escrocherii includ site-uri necunoscute, logo-uri neclare, reduceri nerealiste și metode de plată nesigure. Pentru protecție, verifică recenziile, compară prețurile și folosește soluții de securitate precum Bitdefender Scamio, care identifică linkuri și mesaje suspecte. Dacă o ofertă pare prea bună pentru a fi adevărată, cel mai probabil este o escrocherie.","https://blogapp.bitdefender.com/hotforsecurity/content/images/size/w1000/2025/01/Aten-ie-la-reducerile-de-lichidare-total---Cum-s--faci-cump-r-turi--n-siguran----i-s--evi-i-escrocheriile.jpeg",1,"https://www.bitdefender.com/ro-ro/blog/hotforsecurity/atentie-la-reducerile-de-lichidare-totala-cum-sa-faci-cumparaturi-in-siguranta-si-sa-eviti-escrocheriile","blog",1
"tiktok-vpn-2","Adevărul despre interdicțiile TikTok și utilizarea VPN-urilor pentru a le ocoli","Sfaturi de securitate","Interdicția TikTok în SUA, motivată de îngrijorări privind colectarea de date și influența ByteDance, a fost de scurtă durată, dar a dus la eliminarea aplicației din App Store și Google Play. Mulți utilizatori au încercat să ocolească restricțiile prin VPN-uri, însă acestea au limitări, precum riscuri legale, probleme tehnice și incompatibilitatea cu politicile magazinelor de aplicații. Totuși, VPN-urile rămân esențiale pentru securitatea digitală, oferind criptare a traficului, protecție pe rețele Wi-Fi publice și acces la conținut restricționat. Într-un context global de creștere a supravegherii online, utilizarea unui VPN de încredere, precum Bitdefender Premium VPN, asigură confidențialitate și siguranță sporită.","https://blogapp.bitdefender.com/hotforsecurity/content/images/size/w1000/2025/01/solen-feyissa-Yaw9mfG9QfQ-unsplash--2--1.jpg",1,"https://www.bitdefender.com/ro-ro/blog/hotforsecurity/tiktok-vpn-2","blog",1
"creatori-de-continut-cum-iti-fura-hackerii-conturile-de-social-media","Creatori de conținut: Cum îți fură hackerii conturile de social media","Sfaturi de securitate","Conturile creatorilor de conținut sunt ținte atractive pentru hackeri, care folosesc atacuri de tip Account Takeover (ATO) pentru a prelua controlul. Procesul începe cu colectarea informațiilor publice (email, colaborări), urmată de un email de phishing bine conceput, ce conține un link sau un fișier infectat cu malware InfoStealer. Acesta fură credențialele și token-urile de sesiune, permițând atacatorului să ocolească autentificarea în doi pași și să blocheze accesul creatorului la cont. Odată preluat, hackerul schimbă setările și poate folosi canalul pentru escrocherii financiare. Pentru a preveni astfel de atacuri, evită să îți expui email-ul public, fii sceptic la email-urile neașteptate, folosește soluții de securitate dedicate și activează autentificarea în doi pași. Bitdefender Security for Creators oferă protecție în timp real împotriva phishing-ului, monitorizare 24/7 și recuperare rapidă a contului.","https://blogapp.bitdefender.com/hotforsecurity/content/images/size/w1000/2025/01/Creatori-de-con-inut-Cum---i-fur--hackerii-conturile-de-social-media.jpeg",1,"https://www.bitdefender.com/ro-ro/blog/hotforsecurity/creatori-de-continut-cum-iti-fura-hackerii-conturile-de-social-media","blog",1
"actualizeaza-ti-iphone-ios-18-3-vulnerabilitate-hackeri","Actualizează-ți iPhone! iOS 18.3 remediază o nouă vulnerabilitate exploatabilă de hackeri","Sfaturi de securitate","Apple lansează actualizări critice pentru iPhone, iPad, Mac, Apple Watch, Apple TV și Apple Vision Pro, remediind zeci de vulnerabilități, inclusiv CVE-2025-24085, o exploatare „zero-day” activă în CoreMedia. Aceasta permite atacatorilor să escaladeze privilegii pe dispozitive, compromițând securitatea utilizatorilor. Actualizările includ iOS 18.3, iPadOS 18.3, macOS Sequoia 15.3, watchOS 11.3, tvOS 18.3 și visionOS 2.3, alături de versiuni securizate pentru macOS Sonoma, Ventura și Safari. Apple nu oferă detalii tehnice, dar avertizează asupra riscului ridicat al atacurilor. Vulnerabilitățile „zero-day” sunt adesea utilizate în dezvoltarea spyware-ului, fiind vândute atacatorilor. Bitdefender recomandă instalarea rapidă a actualizărilor și utilizarea unei soluții de securitate pentru protecția datelor.","https://blogapp.bitdefender.com/hotforsecurity/content/images/size/w1000/2025/01/pexels-zana-latif-2772032-18525573-1-1.jpg",1,"https://www.bitdefender.com/ro-ro/blog/hotforsecurity/actualizeaza-ti-iphone-ios-18-3-vulnerabilitate-hackeri","blog",1
"sarbatoreste-ziua-confidentialitatii-datelor-sfaturi-si-solutii-practice-pentru-a-ti-proteja-identitatea-2","Sărbătorește Ziua Confidențialității Datelor: Sfaturi și soluții practice pentru a-ți proteja identitatea","Sfaturi de securitate","Ziua Confidențialității Datelor, marcată anual pe 28 ianuarie, subliniază importanța protejării identității digitale. Într-o eră digitală, fiecare acțiune online lasă o amprentă ce poate fi exploatată, punând în pericol confidențialitatea și securitatea personală. Confidențialitatea datelor presupune controlul asupra informațiilor personale, esențial pentru protejarea reputației, stabilității financiare și libertății de a naviga online fără frica de infractori sau abuzuri din partea companiilor. Protejarea datelor presupune măsuri proactive precum auditarea conturilor, activarea autentificării cu mai mulți factori, folosirea parolelor puternice și protejarea dispozitivelor. Soluțiile de securitate, cum ar fi Bitdefender, ajută utilizatorii să-și protejeze identitatea digitală și să reducă riscurile asociate breșelor de securitate și furturilor de identitate.","https://blogapp.bitdefender.com/hotforsecurity/content/images/size/w1000/2025/01/bitdefender-ziua-mondiala-a-protectiei-datelor.png",1,"https://www.bitdefender.com/ro-ro/blog/hotforsecurity/sarbatoreste-ziua-confidentialitatii-datelor-sfaturi-si-solutii-practice-pentru-a-ti-proteja-identitatea-2","blog",1
"atentie-la-email-urile-frauduloase-care-solicita-donatii-pentru-unicef-sau-alte-organizatii-umanitare","Atenție la email-urile frauduloase care solicită donații pentru UNICEF sau alte organizații umanitare","Sfaturi de securitate","Un nou val de email-uri spam folosește numele UNICEF pentru a înșela oamenii să doneze bani în favoarea victimelor conflictului din Gaza. Infractorii profită de crizele umanitare pentru a crea înșelătorii care vizează victimele cu urgențe false sau premii tentante. Aceste email-uri par oficiale și încearcă să abuzeze de empatia utilizatorilor, solicitând uneori confirmarea de citire pentru a identifica adresele de email active. Este important să fiți precauți în fața unor astfel de mesaje, evitând să dați clic pe linkuri sau să oferiți informații personale. Bitdefender oferă un instrument gratuit, Scamio, care ajută la detectarea înșelătoriilor și protejează utilizatorii de aceste amenințări online.","https://blogapp.bitdefender.com/hotforsecurity/content/images/size/w1000/2025/01/ransomware-5231739_1920.jpg",1,"https://www.bitdefender.com/ro-ro/blog/hotforsecurity/atentie-la-email-urile-frauduloase-care-solicita-donatii-pentru-unicef-sau-alte-organizatii-umanitare","blog",1
"prima-actualizare-chrome-2025-securitate-risc-ridicat","Prima actualizare Chrome din 2025 remediază probleme de securitate cu risc ridicat","Sfaturi de securitate","Google a lansat Chrome 132, prima actualizare majoră a anului, care aduce îmbunătățiri precum integrarea Google Lens pentru căutări și opțiunea de a fixa funcții pe bara de instrumente. Actualizarea include și remedieri de securitate pentru 16 vulnerabilități, dintre care cinci sunt considerate cu risc ridicat. Aceste vulnerabilități afectează componente esențiale ale browserului, cum ar fi Navigation, Skia și motorul V8 JavaScript, fiind vulnerabile la atacuri malițioase, inclusiv spyware. Utilizatorii sunt încurajați să actualizeze imediat la cea mai recentă versiune pentru a preveni exploatarea acestora. Este recomandat să activați actualizările automate și să verificați manual actualizarea prin Setări -> Despre Chrome, pentru a vă asigura că aveți protecția completă.","https://blogapp.bitdefender.com/hotforsecurity/content/images/size/w1000/2025/01/pexels-polina-tankilevitch-5585793-1-3.jpg",1,"https://www.bitdefender.com/ro-ro/blog/hotforsecurity/prima-actualizare-chrome-2025-securitate-risc-ridicat","blog",1
"texas-interzice-deepseek-rednote-si-lemon8-pe-dispozitive-emise-de-stat","Texas interzice DeepSeek, RedNote și Lemon8 pe dispozitive emise de stat","Industry News","Guvernatorul Texasului, Greg Abbott, a anunțat interdicția utilizării aplicațiilor DeepSeek, Xiaohongshu (RedNote) și Lemon8 pe dispozitivele guvernamentale, din cauza preocupărilor legate de securitatea națională și protecția datelor. Această măsură se alătură unei tendințe mai largi în mai multe state americane, care au blocat aplicații și instrumente de inteligență artificială deținute de companii chineze, având în vedere riscurile privind colectarea și gestionarea datelor utilizatorilor. DeepSeek, un chatbot chinez de IA, a fost deja criticat în Italia pentru lipsa de transparență în prelucrarea datelor, iar în Texas, interdicțiile vizează și alte platforme chinezești populare. Guvernul Texas susține că aceste acțiuni sunt esențiale pentru protejarea infrastructurii critice a statului de influențele externe.","https://blogapp.bitdefender.com/hotforsecurity/content/images/size/w1000/2025/02/sign-1438603_1920-1.jpg",1,"https://www.bitdefender.com/ro-ro/blog/hotforsecurity/texas-interzice-deepseek-rednote-si-lemon8-pe-dispozitive-emise-de-stat","blog",1
